hour,EFS2020,EFS2030,EFS2040,EFS2050
336,39289.184,43323.477,47693.34,52631.289
337,38325.914,42260.68,46522.145,51337.281
338,37928.809,41822.188,46037.875,50800.91
339,37982.461,41881.387,46103.32,50873.391
340,38352.57,42289.82,46553.512,51370.359
341,39056.273,43065.984,47408.531,52314.625
342,40383.875,44530.219,49022.082,54096.766
343,42163.402,46493.164,51184.492,56484.145
344,43657.008,48140.598,52998.777,58486.109
345,44402.215,48963.371,53905.887,59488.074
346,43546.734,48021.031,52868.875,58343.77
347,41735.367,46024.66,50671.199,55918.246
348,39894.156,43994.734,48436.098,53451.328
349,38683.016,42659.301,46965.316,51827.406
350,37747.34,41627.082,45828.738,50573.543
351,36858.152,40646.254,44748.719,49382.031
352,36560.855,40318.539,44388.574,48985.402
353,36678.363,40447.281,44529.742,49141.375
354,38383.305,42327.383,46601.668,51431.688
355,40835.043,45031.973,49581.063,54721.301
356,40749.836,44937.313,49475.512,54603.738
357,39898.914,43998.039,48439.836,53459.41
358,38586.598,42550.215,46844.18,51696.883
359,36489.34,40236.238,44294.156,48880.121
360,34095.781,37595.121,41383.496,45665.512
361,32362.354,35682.199,39275.18,43337.066
362,31302.568,34512.824,37986.164,41912.992
363,30805.418,33964.332,37381.773,41245.613
364,30759.477,33913.422,37325.145,41182.414
365,31420.713,34642.727,38128.559,42069.723
366,33307.859,36724.902,40422.918,44603.246
367,36140.898,39850.777,43866.781,48405.402
368,37687.051,41556.355,45744.637,50477.223
369,38411.945,42356.777,46627.602,51453.305
370,39715.949,43796.934,48216.484,53209.176
371,40810.582,45006.305,49550.84,54683.246
372,41125.816,45355.074,49937.078,55111.41
373,41044.223,45265.922,49840.457,55006.031
374,40928.969,45139.813,49702.848,54854.734
375,40613.777,44792.523,49320.922,54433.664
376,40263.352,44405.816,48894.508,53962.336
377,40185.672,44318.762,48797.473,53855.113
378,41216.871,45455.629,50050.285,55240.371
379,43610.277,48096.043,52959.277,58452.738
380,43402.691,47866.801,52705.852,58172.059
381,42411.926,46773.871,51501.691,56842.305
382,40737.008,44926.09,49465.344,54592.785
383,37836.555,41726.039,45938.758,50697.254
384,34716.227,38283.027,42144.402,46506.504
385,32521.504,35861.148,39474.727,43557.207
386,31273.141,34483.512,37956.094,41879.691
387,30614.402,33756.035,37153.102,40991.652
388,30534.465,33667.5,37054.922,40882.867
389,31208.164,34410.32,37872.773,41785.801
390,33817.984,37289.277,41044.262,45287.492
391,38437.016,42385.504,46658.828,51486.707
392,40667.938,44846.762,49368.488,54475.492
393,40467.02,44625.555,49125.258,54207.078
394,41061.258,45281.938,49850.047,55008.512
395,41659.699,45943,50579.602,55814.551
396,41970.762,46286.98,50960.098,56235.926
397,41996.621,46316.133,50993.551,56273.805
398,42170.438,46508.602,51207.098,56510.836
399,41819.648,46121.723,50781.621,56042.086
400,41619.316,45901.348,50539.66,55775.355
401,41807.094,46107.895,50766.758,56025.957
402,42958.813,47376.82,52163.781,57569.496
403,46061.113,50799.277,55932.895,61729.234
404,46277.43,51037.328,56193.441,62015.227
405,45742.961,50447.391,55542.25,61294.637
406,44242.586,48792.082,53717.305,59277.563
407,41633.563,45913.352,50544.473,55772.582
408,39115.309,43134.742,47481.949,52389.094
409,37747.391,41625.754,45819.031,50551.789
410,37387.379,41228.59,45381.078,50067.375
411,37502.16,41354.973,45519.852,50220.16
412,38196.844,42121.484,46364.773,51153.445
413,39848.641,43944.047,48373.551,53372.074
414,43768.672,48269.301,53140.668,58637.746
415,49860.531,54991.203,60548.34,66818.016
416,51876.051,57214.574,62996.289,69518.5
417,50009.961,55154.953,60727.125,67014.508
418,48010.219,52948.238,58296.055,64331.586
419,46305.406,51067.461,56224.371,62045.332
420,44474.652,49047.625,53999.398,59589.652
421,42795.578,47194.973,51958.598,57337.398
422,41569.48,45842.082,50468.633,55693.578
423,40513.465,44677.336,49186.035,54278.273
424,39883.598,43981.836,48419.809,53433.102
425,40040.809,44154.074,48608.672,53641.617
426,41424.324,45679.047,50288.664,55498.371
427,45094.289,49728.113,54749.816,60423.996
428,45672.91,50366.125,55451.922,61198.305
429,45464.383,50135.945,55198.191,60917.902
430,44198.363,48739.207,53658.559,59216.223
431,41485.867,45746.387,50360.645,55574.086
432,38806.797,42790.598,47103.754,51977.332
433,37155.574,40968.418,45095.496,49759.152
434,36389.965,40123.375,44163.922,48730.02
435,36065.941,39765.422,43768.906,48293.051
436,36189.133,39900.84,43917.578,48457.043
437,37231.016,41050.094,45184.082,49856.066
438,40143.93,44263.277,48724.898,53767.203
439,45002.18,49623.848,54632.309,60291.504
440,46214.633,50961.785,56105.309,61916.07
441,44155.586,48690.527,53603.125,59153.762
442,42738.133,47127.84,51882.637,57254.891
443,41846.547,46145.535,50802.051,56062.98
444,40902.938,45105.758,49657.809,54800.203
445,40153.477,44280.059,48749.52,53798.055
446,39912.309,44014.887,48458.91,53478.5
447,39722.871,43806.605,48230.371,53226.547
448,39697.238,43777.68,48198.125,53191.137
449,39652.77,43729.398,48145.188,53132.156
450,40305.313,44446.98,48935.27,54006.832
451,42873.117,47280.465,52058.27,57456.789
452,42917.613,47328.617,52109.016,57510.52
453,42172.941,46506.875,51202.918,56509.328
454,40448.117,44604,49105.438,54191.602
455,37772.449,41651.91,45851.629,50596.656
456,34926.449,38511.258,42389.867,46772.852
457,33087.402,36481.977,40152.934,44301.48
458,32211.266,35515.594,39088.297,43125.707
459,31849.592,35116.254,38647.621,42638.453
460,32049.268,35337.094,38891.523,42907.984
461,32980.434,36364.465,40023.992,44159.172
462,35653.031,39313.18,43273.652,47748.555
463,40361.91,44509.426,49000.16,54072.699
464,42110.887,46439.191,51124.723,56415.797
465,41155.582,45384.93,49963.574,55135.008
466,41033.75,45250.457,49816.516,54974.266
467,41160.293,45390.242,49971.109,55145.629
468,41154.379,45384.395,49966.648,55142.68
469,41116.727,45344.242,49924.57,55097.488
470,41160.379,45393.09,49979.539,55159.129
471,41062.742,45285.996,49862.32,55029.977
472,40919.371,45128.082,49688.41,54837.516
473,40726.023,44914.227,49452.102,54576.223
474,40824.867,45022.313,49570.941,54708.504
475,42574.18,46951.945,51696.844,57056.551
476,41977.98,46293.621,50970.395,56253.629
477,41011.645,45227.105,49794.223,54953.82
478,39691.219,43769.898,48187.504,53178.059
479,37769.012,41648.961,45849.504,50594.855
480,35596.742,39251.934,43207.223,47675.598
481,33724.648,37185.973,40929.824,45159.82
482,32701.891,36057.477,39685.496,43784.445
483,32138.031,35434.82,38998.266,43024.609
484,32101.43,35394.449,38953.227,42973.969
485,32603.836,35948.664,39563.492,43647.27
486,33925.027,37406.52,41169.48,45419.824
487,36149.75,39861.777,43875.246,48407.348
