gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg
1094,Improved Electrolysis,41.44259146,-81.60434848,0,28024399856,0,2.22222E+11,0,0,0,0,0,0,0,2.51473E+11,0
1095,Improved Electrolysis,41.44505338,-74.39384306,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,Improved Electrolysis,41.45527138,-73.42491723,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,Improved Electrolysis,41.51745917,-90.51312374,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,Improved Electrolysis,41.52535356,-99.17519733,0,0,0,0,0,0,0,0,0,0,4.06422E+11,0,0
1099,Improved Electrolysis,41.54,-109.13,28455284553,0,0,0,0,0,0,0,0,0,0,0,0
1100,Improved Electrolysis,41.54667858,-92.6445543,0,0,0,0,0,0,0,0,0,0,1.58289E+11,0,0
1101,Improved Electrolysis,41.54912263,-73.03953582,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,Improved Electrolysis,41.55319803,-73.98279496,0,0,0,0,0,0,0,0,0,0,0,4.2278E+11,0
1103,Improved Electrolysis,41.61891626,-93.65699194,0,2.03047E+11,0,0,0,0,0,0,0,0,0,0,0
1104,Improved Electrolysis,41.63920725,-83.61374498,0,42036599785,0,2.22222E+11,0,0,0,1.34057E+11,0,0,0,0,0
1105,Improved Electrolysis,41.65933058,-85.92590797,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,Improved Electrolysis,41.67450251,-86.82074196,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,Improved Electrolysis,41.67528364,-70.93835619,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,Improved Electrolysis,41.68115814,-91.55937965,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,Improved Electrolysis,41.70168243,-70.3851915,0,3925350720,0,0,0,0,0,0,0,0,0,0,0
1110,Improved Electrolysis,41.71424081,-86.21332738,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,Improved Electrolysis,41.72456267,-111.834849,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,Improved Electrolysis,41.73215191,-102.6829634,0,0,0,0,0,0,0,0,0,0,97277572766,0,0
1113,Improved Electrolysis,41.74018473,-72.69928942,0,0,0,0,0,0,0,0,0,0,167483437.1,0,0
1114,Improved Electrolysis,41.77675362,-71.39741362,0,1237221110,0,0,0,0,0,0,0,0,6074472757,0,0
1115,Improved Electrolysis,41.780163,-107.109511,0,0,0,0,0,0,0,34669967590,0,0,0,0,0
1116,Improved Electrolysis,41.82638494,-87.89856991,0,1.30383E+11,0,2.22222E+11,0,0,0,2.36988E+11,0,0,0,0,0
1117,Improved Electrolysis,41.84051645,-73.09596436,0,0,0,0,0,0,0,0,0,0,0,0,0
